# 60 MHz, both variants, same flow, IMPLEMENTED IN ONE BATCH on 2026-09-08
# against the RTL that covers fills in flight. Both meet all constraints.
#
# Measured in one batch on purpose. An earlier pair of runs weeks apart put
# these same two configurations at wns 4.307 and 2.597 -- a 1.7 ns spread, in
# the opposite direction, between netlists differing by fourteen LUTs. Vivado's
# place-and-route outcome moves by more than the effect being measured here, so
# slack is only quoted within a batch, never across one.
metric,filtered,reference,delta
LUT,27845,26781,+1064
FF,15670,15154,+516
BRAM tiles,124,124,+0
DSP,20,20,+0
wns_ns,1.199,1.265,-0.066
whs_ns,0.010,0.010,+0.000
failing_endpoints,0,0,0
total_endpoints,49624,46952,
constraints_met,yes,yes,
# Fmax is NOT reported here on purpose: measured at a met constraint it
# reflects where the tool stopped optimising, not what the design can do.
# The summary files read 64.65 filtered and 64.93 reference.
cycle_speedup_geomean,1.122,1.000,
cycle_speedup_matmul,1.222,1.000,
# Superseded values from the 2026-09-05 runs, kept so the change is traceable:
# LUT 27776 / 26767 (+1009), FF 15673 / 15154 (+519), wns 4.307 / 2.597.
# The +55 LUT growth is the fill-in-flight term; the slack difference between
# the two dates is run-to-run variation, not an effect of that term.
